Region,RegionCode,City,Link,PostalCode
Bayern,BY,Abenberg,/wiki/Abenberg,91183
Bayern,BY,Abensberg,/wiki/Abensberg,93326
Bayern,BY,Aichach,/wiki/Aichach,86551
Bayern,BY,Altdorf bei Nürnberg,/wiki/Altdorf_bei_N%C3%BCrnberg,90518
Bayern,BY,Altötting,/wiki/Alt%C3%B6tting,84503
Bayern,BY,Alzenau,/wiki/Alzenau,63755
Bayern,BY,Amberg,/wiki/Amberg,92224
Bayern,BY,Amorbach,/wiki/Amorbach,63916
Bayern,BY,Ansbach,/wiki/Ansbach,91522
Bayern,BY,Arnstein,/wiki/Arnstein_(Unterfranken),97450
Bayern,BY,Arzberg,/wiki/Arzberg_(Oberfranken),95659
Bayern,BY,Aschaffenburg,/wiki/Aschaffenburg,"63739, 63741, 63743"
Bayern,BY,Aub,/wiki/Aub,97239
Bayern,BY,Auerbach in der Oberpfalz,/wiki/Auerbach_in_der_Oberpfalz,91275
Bayern,BY,Augsburg,/wiki/Augsburg,86150–86199
Bayern,BY,Bad Aibling,/wiki/Bad_Aibling,83043
Bayern,BY,Bad Berneck im Fichtelgebirge,/wiki/Bad_Berneck_im_Fichtelgebirge,95460
Bayern,BY,Bad Brückenau,/wiki/Bad_Br%C3%BCckenau,97769
Bayern,BY,Bad Griesbach im Rottal,/wiki/Bad_Griesbach_im_Rottal,94086
Bayern,BY,Bad Kissingen,/wiki/Bad_Kissingen,97688
Bayern,BY,Bad Königshofen im Grabfeld,/wiki/Bad_K%C3%B6nigshofen_im_Grabfeld,97631
Bayern,BY,Bad Kötzting,/wiki/Bad_K%C3%B6tzting,93444
Bayern,BY,Bad Neustadt an der Saale,/wiki/Bad_Neustadt_an_der_Saale,97616
Bayern,BY,Bad Reichenhall,/wiki/Bad_Reichenhall,83435
Bayern,BY,Bad Rodach,/wiki/Bad_Rodach,96476
Bayern,BY,Bad Staffelstein,/wiki/Bad_Staffelstein,96231
Bayern,BY,Bad Tölz,/wiki/Bad_T%C3%B6lz,83646
Bayern,BY,Bad Windsheim,/wiki/Bad_Windsheim,91438
Bayern,BY,Bad Wörishofen,/wiki/Bad_W%C3%B6rishofen,86825
Bayern,BY,Baiersdorf,/wiki/Baiersdorf,91083
Bayern,BY,Bamberg,/wiki/Bamberg,"96047, 96049, 96050, 96052"
Bayern,BY,Bärnau,/wiki/B%C3%A4rnau,95671
Bayern,BY,Baunach,/wiki/Baunach,96148
Bayern,BY,Bayreuth,/wiki/Bayreuth,"95444, 95445, 95447, 95448"
Bayern,BY,Beilngries,/wiki/Beilngries,"92339, 92345"
Bayern,BY,Berching,/wiki/Berching,92334
