Region,RegionCode,City,Link,PostalCode
Bayern,BY,Abenberg,/wiki/Abenberg,91183
Bayern,BY,Abensberg,/wiki/Abensberg,93326
Bayern,BY,Aichach,/wiki/Aichach,86551
Bayern,BY,Altdorf bei Nürnberg,/wiki/Altdorf_bei_N%C3%BCrnberg,90518
Bayern,BY,Altötting,/wiki/Alt%C3%B6tting,84503
Bayern,BY,Alzenau,/wiki/Alzenau,63755
Bayern,BY,Amberg,/wiki/Amberg,92224
Bayern,BY,Amorbach,/wiki/Amorbach,63916
Bayern,BY,Ansbach,/wiki/Ansbach,91522
Bayern,BY,Arnstein,/wiki/Arnstein_(Unterfranken),97450
Bayern,BY,Arzberg,/wiki/Arzberg_(Oberfranken),95659
Bayern,BY,Aschaffenburg,/wiki/Aschaffenburg,63739
Bayern,BY,Aschaffenburg,/wiki/Aschaffenburg,63741
Bayern,BY,Aschaffenburg,/wiki/Aschaffenburg,63743
Bayern,BY,Aub,/wiki/Aub,97239
Bayern,BY,Auerbach in der Oberpfalz,/wiki/Auerbach_in_der_Oberpfalz,91275
Bayern,BY,Augsburg,/wiki/Augsburg,86150
Bayern,BY,Augsburg,/wiki/Augsburg,86151
Bayern,BY,Augsburg,/wiki/Augsburg,86152
Bayern,BY,Augsburg,/wiki/Augsburg,86153
Bayern,BY,Augsburg,/wiki/Augsburg,86154
Bayern,BY,Augsburg,/wiki/Augsburg,86155
Bayern,BY,Augsburg,/wiki/Augsburg,86156
Bayern,BY,Augsburg,/wiki/Augsburg,86157
Bayern,BY,Augsburg,/wiki/Augsburg,86158
Bayern,BY,Augsburg,/wiki/Augsburg,86159
Bayern,BY,Augsburg,/wiki/Augsburg,86160
Bayern,BY,Augsburg,/wiki/Augsburg,86161
Bayern,BY,Augsburg,/wiki/Augsburg,86162
Bayern,BY,Augsburg,/wiki/Augsburg,86163
Bayern,BY,Augsburg,/wiki/Augsburg,86164
Bayern,BY,Augsburg,/wiki/Augsburg,86165
Bayern,BY,Augsburg,/wiki/Augsburg,86166
Bayern,BY,Augsburg,/wiki/Augsburg,86167
Bayern,BY,Augsburg,/wiki/Augsburg,86168
Bayern,BY,Augsburg,/wiki/Augsburg,86169
Bayern,BY,Augsburg,/wiki/Augsburg,86170
Bayern,BY,Augsburg,/wiki/Augsburg,86171
Bayern,BY,Augsburg,/wiki/Augsburg,86172
Bayern,BY,Augsburg,/wiki/Augsburg,86173
Bayern,BY,Augsburg,/wiki/Augsburg,86174
Bayern,BY,Augsburg,/wiki/Augsburg,86175
Bayern,BY,Augsburg,/wiki/Augsburg,86176
Bayern,BY,Augsburg,/wiki/Augsburg,86177
